sent,source,effective,expires,senderName,headline,description,instruction,web,alert_title,severity_level,alert_disease,areaDesc,areaDesc_EN,circle,ISO3166,areaDetail,ISO3166_2
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","英國","United Kingdom of Great Britain and Northern Ireland","55.12,-3.07","GB","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","奧地利-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","奧地利","Austria","47.32,14.17","AT","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","巴林王國-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","巴林王國","Bahrain","26.04,50.53","BH","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","比利時-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","比利時","Belgium","50.20,4.68","BE","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","丹麥-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","丹麥","Denmark","55.36,10.06","DK","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","冰島-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","冰島","Iceland","65.02,-18.58","IS","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","科威特-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","科威特","Kuwait","29.32,47.39","KW","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","荷蘭-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","荷蘭","Netherlands","51.89,6.50","NL","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","挪威-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","挪威","Norway","59.80,8.61","NO","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","瑞典-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","瑞典","Sweden","64.05,16.61","SE","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","奧地利,巴林王國,比利時,丹麥,法國,德國,冰島,日本,科威特,荷蘭,挪威,新加坡,西班牙,瑞典,瑞士-嚴重特殊傳染性肺炎(第二級:警示(Alert))","對當地採取加強防護","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第二級:警示(Alert)","嚴重特殊傳染性肺炎","瑞士","Switzerland","46.40,8.15","CH","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","泰國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","泰國","Thailand","15.02,101.51","TH","",""
"2020-03-01T00:00:00+08:00","CDC","2020-03-01T00:00:00+08:00","2020-06-01T00:00:00+08:00","疾病管制署","中國大陸-嚴重特殊傳染性肺炎(第三級:警告(Warning))","中國大陸,香港特別行政區,伊朗,義大利,韓國,澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第三級:警告(Warning)","嚴重特殊傳染性肺炎","中國大陸","China","34.307144,103.974609","CN","",""
"2020-03-01T00:00:00+08:00","CDC","2020-03-01T00:00:00+08:00","2020-06-01T00:00:00+08:00","疾病管制署","香港特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","中國大陸,香港特別行政區,伊朗,義大利,韓國,澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第三級:警告(Warning)","嚴重特殊傳染性肺炎","香港特別行政區","Hong Kong SAR","22.39,114.12","HK","",""
"2020-03-01T00:00:00+08:00","CDC","2020-03-01T00:00:00+08:00","2020-06-01T00:00:00+08:00","疾病管制署","伊朗-嚴重特殊傳染性肺炎(第三級:警告(Warning))","中國大陸,香港特別行政區,伊朗,義大利,韓國,澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第三級:警告(Warning)","嚴重特殊傳染性肺炎","伊朗","Iran","32.54,54.31","IR","",""
"2020-03-01T00:00:00+08:00","CDC","2020-03-01T00:00:00+08:00","2020-06-01T00:00:00+08:00","疾病管制署","義大利-嚴重特殊傳染性肺炎(第三級:警告(Warning))","中國大陸,香港特別行政區,伊朗,義大利,韓國,澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第三級:警告(Warning)","嚴重特殊傳染性肺炎","義大利","Italy","43.06,12.12","IT","",""
"2020-03-01T00:00:00+08:00","CDC","2020-03-01T00:00:00+08:00","2020-06-01T00:00:00+08:00","疾病管制署","韓國-嚴重特殊傳染性肺炎(第三級:警告(Warning))","中國大陸,香港特別行政區,伊朗,義大利,韓國,澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第三級:警告(Warning)","嚴重特殊傳染性肺炎","韓國","Korea(South Korea)","36.49,127.88","KR","",""
"2020-03-01T00:00:00+08:00","CDC","2020-03-01T00:00:00+08:00","2020-06-01T00:00:00+08:00","疾病管制署","澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","中國大陸,香港特別行政區,伊朗,義大利,韓國,澳門特別行政區-嚴重特殊傳染性肺炎(第三級:警告(Warning))","避免至當地所有非必要旅遊","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第三級:警告(Warning)","嚴重特殊傳染性肺炎","澳門特別行政區","Macau SAR","22.18,113.46","MO","",""
